O*NET-SOC Code	Element ID	Element Name	Scale ID	Category	Data Value	N	Standard Error	Lower CI Bound	Upper CI Bound	Recommend Suppress	Date	Domain Source
25-1072.00	2.D.1	Required Level of Education	RL	3	0.00	33	0.0000	n/a	n/a	N	08/2019	Incumbent
25-1072.00	2.D.1	Required Level of Education	RL	4	0.00	33	0.0000	n/a	n/a	N	08/2019	Incumbent
25-1072.00	2.D.1	Required Level of Education	RL	5	0.00	33	0.0000	n/a	n/a	N	08/2019	Incumbent
25-1072.00	2.D.1	Required Level of Education	RL	6	5.05	33	3.6948	1.0949	20.3528	N	08/2019	Incumbent
25-1072.00	2.D.1	Required Level of Education	RL	7	0.00	33	0.0000	n/a	n/a	N	08/2019	Incumbent
25-1072.00	2.D.1	Required Level of Education	RL	8	50.08	33	12.8530	26.0385	74.0871	N	08/2019	Incumbent
25-1072.00	2.D.1	Required Level of Education	RL	9	2.03	33	2.0665	0.2474	14.7037	N	08/2019	Incumbent
25-1072.00	2.D.1	Required Level of Education	RL	10	0.00	33	0.0000	n/a	n/a	N	08/2019	Incumbent
25-1072.00	2.D.1	Required Level of Education	RL	11	36.11	33	12.3438	15.9733	62.7002	N	08/2019	Incumbent
25-1072.00	2.D.1	Required Level of Education	RL	12	6.73	33	6.5064	0.8654	37.3471	N	08/2019	Incumbent
25-1072.00	2.D.4.a	Job-Related Professional Certification	IM	n/a	3.64	33	0.3190	2.9930	4.2925	N	08/2019	Incumbent
25-1072.00	3.A.1	Related Work Experience	RW	1	6.73	33	6.5064	0.8654	37.3471	N	08/2019	Incumbent
25-1072.00	3.A.1	Related Work Experience	RW	2	0.00	33	0.0000	n/a	n/a	N	08/2019	Incumbent
25-1072.00	3.A.1	Related Work Experience	RW	3	0.00	33	0.0000	n/a	n/a	N	08/2019	Incumbent
25-1072.00	3.A.1	Related Work Experience	RW	4	0.00	33	0.0000	n/a	n/a	N	08/2019	Incumbent
25-1072.00	3.A.1	Related Work Experience	RW	5	0.00	33	0.0000	n/a	n/a	N	08/2019	Incumbent
25-1072.00	3.A.1	Related Work Experience	RW	6	8.18	33	6.6500	1.4447	35.1045	N	08/2019	Incumbent
25-1072.00	3.A.1	Related Work Experience	RW	7	62.03	33	11.7876	37.0825	81.9084	N	08/2019	Incumbent
25-1072.00	3.A.1	Related Work Experience	RW	8	11.87	33	5.5029	4.4087	28.2252	N	08/2019	Incumbent
25-1072.00	3.A.1	Related Work Experience	RW	9	2.44	33	1.5472	0.6634	8.5884	N	08/2019	Incumbent
25-1072.00	3.A.1	Related Work Experience	RW	10	0.00	33	0.0000	n/a	n/a	N	08/2019	Incumbent
25-1072.00	3.A.1	Related Work Experience	RW	11	8.75	33	6.8022	1.6650	35.2184	N	08/2019	Incumbent
25-1072.00	3.A.2	On-Site or In-Plant Training	PT	1	28.75	33	11.3308	11.5665	55.4584	N	08/2019	Incumbent
25-1072.00	3.A.2	On-Site or In-Plant Training	PT	2	24.38	33	9.7001	9.9434	48.4956	N	08/2019	Incumbent
25-1072.00	3.A.2	On-Site or In-Plant Training	PT	3	1.34	33	0.9923	0.2910	5.9056	N	08/2019	Incumbent
25-1072.00	3.A.2	On-Site or In-Plant Training	PT	4	10.40	33	5.8648	3.1195	29.4931	N	08/2019	Incumbent
25-1072.00	3.A.2	On-Site or In-Plant Training	PT	5	12.51	33	7.5897	3.3680	36.9927	N	08/2019	Incumbent
25-1072.00	3.A.2	On-Site or In-Plant Training	PT	6	22.62	33	8.5859	9.7150	44.2559	N	08/2019	Incumbent
25-1072.00	3.A.2	On-Site or In-Plant Training	PT	7	0.00	33	0.0000	n/a	n/a	N	08/2019	Incumbent
25-1072.00	3.A.2	On-Site or In-Plant Training	PT	8	0.00	33	0.0000	n/a	n/a	N	08/2019	Incumbent
25-1072.00	3.A.2	On-Site or In-Plant Training	PT	9	0.00	33	0.0000	n/a	n/a	N	08/2019	Incumbent
25-1072.00	3.A.3	On-the-Job Training	OJ	1	17.54	33	9.2982	5.4320	44.0702	N	08/2019	Incumbent
25-1072.00	3.A.3	On-the-Job Training	OJ	2	18.07	33	8.2697	6.6035	40.7625	N	08/2019	Incumbent
25-1072.00	3.A.3	On-the-Job Training	OJ	3	16.64	33	7.1170	6.5615	36.2120	N	08/2019	Incumbent
25-1072.00	3.A.3	On-the-Job Training	OJ	4	11.61	33	7.1491	3.0788	35.1866	N	08/2019	Incumbent
25-1072.00	3.A.3	On-the-Job Training	OJ	5	16.15	33	8.0205	5.4486	39.1574	N	08/2019	Incumbent
25-1072.00	3.A.3	On-the-Job Training	OJ	6	19.33	33	8.7282	7.1188	42.8367	N	08/2019	Incumbent
25-1072.00	3.A.3	On-the-Job Training	OJ	7	0.65	33	0.6697	0.0808	5.0962	N	08/2019	Incumbent
25-1072.00	3.A.3	On-the-Job Training	OJ	8	0.00	33	0.0000	n/a	n/a	N	08/2019	Incumbent
25-1072.00	3.A.3	On-the-Job Training	OJ	9	0.00	33	0.0000	n/a	n/a	N	08/2019	Incumbent
25-1072.00	3.A.4.a	Job-related Apprenticeship	IM	n/a	2.00	33	0.2077	1.5730	2.4190	N	08/2019	Incumbent
25-1081.00	2.D.1	Required Level of Education	RL	1	0.00	23	0.0000	n/a	n/a	N	08/2019	Incumbent
25-1081.00	2.D.1	Required Level of Education	RL	2	0.00	23	0.0000	n/a	n/a	N	08/2019	Incumbent
25-1081.00	2.D.1	Required Level of Education	RL	3	0.00	23	0.0000	n/a	n/a	N	08/2019	Incumbent
25-1081.00	2.D.1	Required Level of Education	RL	4	0.00	23	0.0000	n/a	n/a	N	08/2019	Incumbent
25-1081.00	2.D.1	Required Level of Education	RL	5	0.00	23	0.0000	n/a	n/a	N	08/2019	Incumbent
25-1081.00	2.D.1	Required Level of Education	RL	6	0.63	23	0.5519	0.1040	3.7737	N	08/2019	Incumbent
25-1081.00	2.D.1	Required Level of Education	RL	7	0.00	23	0.0000	n/a	n/a	N	08/2019	Incumbent
25-1081.00	2.D.1	Required Level of Education	RL	8	9.41	23	7.5888	1.6125	39.6928	N	08/2019	Incumbent
25-1081.00	2.D.1	Required Level of Education	RL	9	0.10	23	0.1071	0.0099	0.9468	N	08/2019	Incumbent
25-1081.00	2.D.1	Required Level of Education	RL	10	0.00	23	0.0000	n/a	n/a	N	08/2019	Incumbent
25-1081.00	2.D.1	Required Level of Education	RL	11	89.76	23	7.7971	60.1446	98.0745	N	08/2019	Incumbent
25-1081.00	2.D.1	Required Level of Education	RL	12	0.10	23	0.1071	0.0099	0.9468	N	08/2019	Incumbent
25-1081.00	2.D.4.a	Job-Related Professional Certification	IM	n/a	3.52	23	0.4261	2.6360	4.4032	N	08/2019	Incumbent
25-1081.00	3.A.1	Related Work Experience	RW	1	32.05	23	12.0240	13.0538	59.7164	N	08/2019	Incumbent
25-1081.00	3.A.1	Related Work Experience	RW	2	0.00	23	0.0000	n/a	n/a	N	08/2019	Incumbent
25-1081.00	3.A.1	Related Work Experience	RW	3	0.00	23	0.0000	n/a	n/a	N	08/2019	Incumbent
25-1081.00	3.A.1	Related Work Experience	RW	4	0.00	23	0.0000	n/a	n/a	N	08/2019	Incumbent
25-1081.00	3.A.1	Related Work Experience	RW	5	0.00	23	0.0000	n/a	n/a	N	08/2019	Incumbent
25-1081.00	3.A.1	Related Work Experience	RW	6	1.51	23	1.1434	0.3095	7.0255	N	08/2019	Incumbent
25-1081.00	3.A.1	Related Work Experience	RW	7	14.29	23	10.5842	2.7018	50.0198	N	08/2019	Incumbent
25-1081.00	3.A.1	Related Work Experience	RW	8	25.55	23	11.4673	8.9482	54.5043	N	08/2019	Incumbent
25-1081.00	3.A.1	Related Work Experience	RW	9	12.82	23	10.6112	2.0123	51.2984	N	08/2019	Incumbent
25-1081.00	3.A.1	Related Work Experience	RW	10	0.69	23	0.7615	0.0692	6.5130	N	08/2019	Incumbent
25-1081.00	3.A.1	Related Work Experience	RW	11	13.09	23	12.4157	1.5425	59.1521	N	08/2019	Incumbent
25-1081.00	3.A.2	On-Site or In-Plant Training	PT	1	45.47	23	19.2320	14.3046	80.6424	Y	08/2019	Incumbent
25-1081.00	3.A.2	On-Site or In-Plant Training	PT	2	13.44	23	10.6055	2.2900	50.7004	N	08/2019	Incumbent
25-1081.00	3.A.2	On-Site or In-Plant Training	PT	3	0.29	23	0.3212	0.0299	2.7997	N	08/2019	Incumbent
25-1081.00	3.A.2	On-Site or In-Plant Training	PT	4	1.33	23	0.9789	0.2845	5.9611	N	08/2019	Incumbent
25-1081.00	3.A.2	On-Site or In-Plant Training	PT	5	12.90	23	10.6138	2.0436	51.2347	N	08/2019	Incumbent
25-1081.00	3.A.2	On-Site or In-Plant Training	PT	6	0.69	23	0.7615	0.0692	6.5130	N	08/2019	Incumbent
25-1081.00	3.A.2	On-Site or In-Plant Training	PT	7	0.44	23	0.4764	0.0449	4.0912	N	08/2019	Incumbent
25-1081.00	3.A.2	On-Site or In-Plant Training	PT	8	12.72	23	10.6170	1.9681	51.4280	N	08/2019	Incumbent
25-1081.00	3.A.2	On-Site or In-Plant Training	PT	9	12.72	23	12.3763	1.4249	59.5239	N	08/2019	Incumbent
25-1081.00	3.A.3	On-the-Job Training	OJ	1	32.84	23	12.0326	13.6274	60.2554	N	08/2019	Incumbent
25-1081.00	3.A.3	On-the-Job Training	OJ	2	26.36	23	11.4158	9.5625	54.7938	N	08/2019	Incumbent
25-1081.00	3.A.3	On-the-Job Training	OJ	3	0.44	23	0.4764	0.0449	4.0912	N	08/2019	Incumbent
25-1081.00	3.A.3	On-the-Job Training	OJ	4	2.01	23	1.4030	0.4677	8.2408	N	08/2019	Incumbent
25-1081.00	3.A.3	On-the-Job Training	OJ	5	0.37	23	0.3342	0.0548	2.3991	N	08/2019	Incumbent
25-1081.00	3.A.3	On-the-Job Training	OJ	6	12.63	23	10.6197	1.9255	51.5470	N	08/2019	Incumbent
25-1081.00	3.A.3	On-the-Job Training	OJ	7	0.00	23	0.0000	n/a	n/a	N	08/2019	Incumbent
25-1081.00	3.A.3	On-the-Job Training	OJ	8	12.72	23	10.6170	1.9681	51.4280	N	08/2019	Incumbent
25-1081.00	3.A.3	On-the-Job Training	OJ	9	12.63	23	12.3674	1.3938	59.6386	N	08/2019	Incumbent
25-1081.00	3.A.4.a	Job-related Apprenticeship	IM	n/a	2.79	23	0.4094	1.9377	3.6358	N	08/2019	Incumbent
25-1082.00	2.D.1	Required Level of Education	RL	1	0.00	20	0.0000	n/a	n/a	N	08/2019	Incumbent
25-1082.00	2.D.1	Required Level of Education	RL	2	0.00	20	0.0000	n/a	n/a	N	08/2019	Incumbent
25-1082.00	2.D.1	Required Level of Education	RL	3	0.00	20	0.0000	n/a	n/a	N	08/2019	Incumbent
25-1082.00	2.D.1	Required Level of Education	RL	4	0.00	20	0.0000	n/a	n/a	N	08/2019	Incumbent
25-1082.00	2.D.1	Required Level of Education	RL	5	0.93	20	0.9663	0.1052	7.7567	N	08/2019	Incumbent
25-1082.00	2.D.1	Required Level of Education	RL	6	0.93	20	0.9663	0.1052	7.7567	N	08/2019	Incumbent
25-1082.00	2.D.1	Required Level of Education	RL	7	0.00	20	0.0000	n/a	n/a	N	08/2019	Incumbent
25-1082.00	2.D.1	Required Level of Education	RL	8	24.57	20	12.2038	7.5896	56.3806	N	08/2019	Incumbent
25-1082.00	2.D.1	Required Level of Education	RL	9	0.00	20	0.0000	n/a	n/a	N	08/2019	Incumbent
25-1082.00	2.D.1	Required Level of Education	RL	10	0.00	20	0.0000	n/a	n/a	N	08/2019	Incumbent
25-1082.00	2.D.1	Required Level of Education	RL	11	65.24	20	13.7894	34.4562	87.0170	N	08/2019	Incumbent
25-1082.00	2.D.1	Required Level of Education	RL	12	8.32	20	8.1566	0.9581	45.9752	N	08/2019	Incumbent
25-1082.00	2.D.4.a	Job-Related Professional Certification	IM	n/a	3.51	19	0.5191	2.4151	4.5964	N	08/2019	Incumbent
25-1082.00	3.A.1	Related Work Experience	RW	1	9.33	19	6.0931	2.2140	31.8497	N	08/2019	Incumbent
25-1082.00	3.A.1	Related Work Experience	RW	2	0.00	19	0.0000	n/a	n/a	N	08/2019	Incumbent
25-1082.00	3.A.1	Related Work Experience	RW	3	0.00	19	0.0000	n/a	n/a	N	08/2019	Incumbent
25-1082.00	3.A.1	Related Work Experience	RW	4	0.00	19	0.0000	n/a	n/a	N	08/2019	Incumbent
25-1082.00	3.A.1	Related Work Experience	RW	5	7.19	19	7.1922	0.7982	42.7172	N	08/2019	Incumbent
25-1082.00	3.A.1	Related Work Experience	RW	6	0.00	19	0.0000	n/a	n/a	N	08/2019	Incumbent
25-1082.00	3.A.1	Related Work Experience	RW	7	22.29	19	10.0001	7.8573	49.1010	N	08/2019	Incumbent
25-1082.00	3.A.1	Related Work Experience	RW	8	27.03	19	13.6036	8.0036	61.2058	N	08/2019	Incumbent
25-1082.00	3.A.1	Related Work Experience	RW	9	6.38	19	5.9970	0.8191	35.9765	N	08/2019	Incumbent
25-1082.00	3.A.1	Related Work Experience	RW	10	9.35	19	9.0684	1.0774	49.4075	N	08/2019	Incumbent
25-1082.00	3.A.1	Related Work Experience	RW	11	18.43	19	9.6948	5.5110	46.6905	N	08/2019	Incumbent
25-1082.00	3.A.2	On-Site or In-Plant Training	PT	1	43.69	20	14.5903	18.3141	72.8574	N	08/2019	Incumbent
25-1082.00	3.A.2	On-Site or In-Plant Training	PT	2	21.26	20	9.3811	7.7117	46.5955	N	08/2019	Incumbent
25-1082.00	3.A.2	On-Site or In-Plant Training	PT	3	3.31	20	2.1527	0.8331	12.2697	N	08/2019	Incumbent
25-1082.00	3.A.2	On-Site or In-Plant Training	PT	4	0.00	20	0.0000	n/a	n/a	N	08/2019	Incumbent
25-1082.00	3.A.2	On-Site or In-Plant Training	PT	5	0.00	20	0.0000	n/a	n/a	N	08/2019	Incumbent
25-1082.00	3.A.2	On-Site or In-Plant Training	PT	6	24.72	20	10.4436	9.2116	51.5257	N	08/2019	Incumbent
25-1082.00	3.A.2	On-Site or In-Plant Training	PT	7	0.93	20	0.9663	0.1052	7.7567	N	08/2019	Incumbent
25-1082.00	3.A.2	On-Site or In-Plant Training	PT	8	6.09	20	6.0558	0.7003	37.3167	N	08/2019	Incumbent
25-1082.00	3.A.2	On-Site or In-Plant Training	PT	9	0.00	20	0.0000	n/a	n/a	N	08/2019	Incumbent
25-1082.00	3.A.3	On-the-Job Training	OJ	1	32.96	20	14.8640	10.7351	66.7725	N	08/2019	Incumbent
25-1082.00	3.A.3	On-the-Job Training	OJ	2	22.04	20	18.0592	3.0389	71.8384	Y	08/2019	Incumbent
25-1082.00	3.A.3	On-the-Job Training	OJ	3	14.34	20	10.7794	2.5961	51.2369	N	08/2019	Incumbent
25-1082.00	3.A.3	On-the-Job Training	OJ	4	0.00	20	0.0000	n/a	n/a	N	08/2019	Incumbent
25-1082.00	3.A.3	On-the-Job Training	OJ	5	4.56	20	4.6385	0.5123	30.7588	N	08/2019	Incumbent
25-1082.00	3.A.3	On-the-Job Training	OJ	6	13.70	20	9.3023	2.9680	45.1734	N	08/2019	Incumbent
25-1082.00	3.A.3	On-the-Job Training	OJ	7	7.02	20	6.1624	1.0345	35.2685	N	08/2019	Incumbent
25-1082.00	3.A.3	On-the-Job Training	OJ	8	5.38	20	5.1109	0.6912	31.7325	N	08/2019	Incumbent
25-1082.00	3.A.3	On-the-Job Training	OJ	9	0.00	20	0.0000	n/a	n/a	N	08/2019	Incumbent
25-1082.00	3.A.4.a	Job-related Apprenticeship	IM	n/a	3.00	19	0.4702	2.0106	3.9862	N	08/2019	Incumbent
25-1111.00	2.D.1	Required Level of Education	RL	1	0.00	23	0.0000	n/a	n/a	N	08/2019	Incumbent
25-1111.00	2.D.1	Required Level of Education	RL	2	1.62	23	1.6482	0.1943	12.2929	N	08/2019	Incumbent
25-1111.00	2.D.1	Required Level of Education	RL	3	10.90	23	8.4595	1.9699	42.6883	N	08/2019	Incumbent
25-1111.00	2.D.1	Required Level of Education	RL	4	0.00	23	0.0000	n/a	n/a	N	08/2019	Incumbent
25-1111.00	2.D.1	Required Level of Education	RL	5	8.41	23	8.0533	1.0403	44.5237	N	08/2019	Incumbent
25-1111.00	2.D.1	Required Level of Education	RL	6	4.34	23	3.1367	0.9403	17.8507	N	08/2019	Incumbent
25-1111.00	2.D.1	Required Level of Education	RL	7	0.00	23	0.0000	n/a	n/a	N	08/2019	Incumbent
25-1111.00	2.D.1	Required Level of Education	RL	8	38.89	23	11.9912	18.2678	64.4390	N	08/2019	Incumbent
25-1111.00	2.D.1	Required Level of Education	RL	9	8.61	23	8.1027	1.1030	44.3457	N	08/2019	Incumbent
25-1111.00	2.D.1	Required Level of Education	RL	10	1.62	23	1.6399	0.1933	12.2367	N	08/2019	Incumbent
25-1111.00	2.D.1	Required Level of Education	RL	11	25.60	23	11.0312	9.3776	53.3492	N	08/2019	Incumbent
25-1111.00	2.D.1	Required Level of Education	RL	12	0.00	23	0.0000	n/a	n/a	N	08/2019	Incumbent
25-1111.00	2.D.4.a	Job-Related Professional Certification	IM	n/a	3.06	22	0.4714	2.0790	4.0396	N	08/2019	Incumbent
25-1111.00	3.A.1	Related Work Experience	RW	1	1.71	22	1.7391	0.2029	12.9951	N	08/2019	Incumbent
25-1111.00	3.A.1	Related Work Experience	RW	2	2.41	22	2.4291	0.2871	17.4670	N	08/2019	Incumbent
25-1111.00	3.A.1	Related Work Experience	RW	3	2.45	22	2.4666	0.2919	17.6980	N	08/2019	Incumbent
25-1111.00	3.A.1	Related Work Experience	RW	4	0.00	22	0.0000	n/a	n/a	N	08/2019	Incumbent
25-1111.00	3.A.1	Related Work Experience	RW	5	0.00	22	0.0000	n/a	n/a	N	08/2019	Incumbent
25-1111.00	3.A.1	Related Work Experience	RW	6	15.98	22	9.6505	4.0944	45.8854	N	08/2019	Incumbent
25-1111.00	3.A.1	Related Work Experience	RW	7	39.44	22	13.0739	17.2625	67.0287	N	08/2019	Incumbent
25-1111.00	3.A.1	Related Work Experience	RW	8	23.39	22	10.3837	8.3792	50.4644	N	08/2019	Incumbent
25-1111.00	3.A.1	Related Work Experience	RW	9	1.70	22	1.7303	0.2018	12.9361	N	08/2019	Incumbent
25-1111.00	3.A.1	Related Work Experience	RW	10	3.84	22	2.7965	0.8174	16.1788	N	08/2019	Incumbent
25-1111.00	3.A.1	Related Work Experience	RW	11	9.08	22	8.6585	1.1152	46.9336	N	08/2019	Incumbent
25-1111.00	3.A.2	On-Site or In-Plant Training	PT	1	47.87	22	13.2203	23.3779	73.4264	N	08/2019	Incumbent
25-1111.00	3.A.2	On-Site or In-Plant Training	PT	2	18.31	22	9.3547	5.7559	45.1452	N	08/2019	Incumbent
25-1111.00	3.A.2	On-Site or In-Plant Training	PT	3	3.41	22	2.4815	0.7303	14.4714	N	08/2019	Incumbent
25-1111.00	3.A.2	On-Site or In-Plant Training	PT	4	2.73	22	2.6644	0.3467	18.4490	N	08/2019	Incumbent
25-1111.00	3.A.2	On-Site or In-Plant Training	PT	5	4.58	22	3.3056	0.9852	18.7933	N	08/2019	Incumbent
25-1111.00	3.A.2	On-Site or In-Plant Training	PT	6	23.10	22	10.9266	7.7161	51.9130	N	08/2019	Incumbent
25-1111.00	3.A.2	On-Site or In-Plant Training	PT	7	0.00	22	0.0000	n/a	n/a	N	08/2019	Incumbent
25-1111.00	3.A.2	On-Site or In-Plant Training	PT	8	0.00	22	0.0000	n/a	n/a	N	08/2019	Incumbent
25-1111.00	3.A.2	On-Site or In-Plant Training	PT	9	0.00	22	0.0000	n/a	n/a	N	08/2019	Incumbent
25-1111.00	3.A.3	On-the-Job Training	OJ	1	42.46	22	13.3985	19.0847	69.7724	N	08/2019	Incumbent
25-1111.00	3.A.3	On-the-Job Training	OJ	2	16.61	22	9.2690	4.7191	44.4761	N	08/2019	Incumbent
25-1111.00	3.A.3	On-the-Job Training	OJ	3	6.88	22	4.0114	1.9701	21.3631	N	08/2019	Incumbent
25-1111.00	3.A.3	On-the-Job Training	OJ	4	11.00	22	8.6693	1.9215	43.8040	N	08/2019	Incumbent
25-1111.00	3.A.3	On-the-Job Training	OJ	5	6.90	22	5.4726	1.2469	30.3460	N	08/2019	Incumbent
25-1111.00	3.A.3	On-the-Job Training	OJ	6	13.39	22	8.7822	3.1015	42.7500	N	08/2019	Incumbent
25-1111.00	3.A.3	On-the-Job Training	OJ	7	2.76	22	2.7753	0.3290	19.6070	N	08/2019	Incumbent
25-1111.00	3.A.3	On-the-Job Training	OJ	8	0.00	22	0.0000	n/a	n/a	N	08/2019	Incumbent
25-1111.00	3.A.3	On-the-Job Training	OJ	9	0.00	22	0.0000	n/a	n/a	N	08/2019	Incumbent
25-1111.00	3.A.4.a	Job-related Apprenticeship	IM	n/a	2.21	22	0.3310	1.5252	2.9020	N	08/2019	Incumbent
25-1112.00	2.D.1	Required Level of Education	RL	1	0.00	33	0.0000	n/a	n/a	N	08/2019	Incumbent
25-1112.00	2.D.1	Required Level of Education	RL	2	0.00	33	0.0000	n/a	n/a	N	08/2019	Incumbent
25-1112.00	2.D.1	Required Level of Education	RL	3	0.00	33	0.0000	n/a	n/a	N	08/2019	Incumbent
25-1112.00	2.D.1	Required Level of Education	RL	4	0.00	33	0.0000	n/a	n/a	N	08/2019	Incumbent
25-1112.00	2.D.1	Required Level of Education	RL	5	1.07	33	1.1168	0.1261	8.4854	N	08/2019	Incumbent
25-1112.00	2.D.1	Required Level of Education	RL	6	0.00	33	0.0000	n/a	n/a	N	08/2019	Incumbent
25-1112.00	2.D.1	Required Level of Education	RL	7	0.00	33	0.0000	n/a	n/a	N	08/2019	Incumbent
25-1112.00	2.D.1	Required Level of Education	RL	8	15.44	33	8.4407	4.6625	40.5246	N	08/2019	Incumbent
25-1112.00	2.D.1	Required Level of Education	RL	9	2.06	33	2.1342	0.2421	15.3772	N	08/2019	Incumbent
25-1112.00	2.D.1	Required Level of Education	RL	10	46.18	33	9.9491	27.5158	65.9750	N	08/2019	Incumbent
25-1112.00	2.D.1	Required Level of Education	RL	11	35.26	33	12.4209	15.2383	62.2619	N	08/2019	Incumbent
25-1112.00	2.D.1	Required Level of Education	RL	12	0.00	33	0.0000	n/a	n/a	N	08/2019	Incumbent
25-1112.00	2.D.4.a	Job-Related Professional Certification	IM	n/a	3.92	33	0.3789	3.1471	4.6909	N	08/2019	Incumbent
25-1112.00	3.A.1	Related Work Experience	RW	1	2.54	33	1.6179	0.6837	8.9807	N	08/2019	Incumbent
25-1112.00	3.A.1	Related Work Experience	RW	2	0.00	33	0.0000	n/a	n/a	N	08/2019	Incumbent
25-1112.00	3.A.1	Related Work Experience	RW	3	0.00	33	0.0000	n/a	n/a	N	08/2019	Incumbent
25-1112.00	3.A.1	Related Work Experience	RW	4	0.00	33	0.0000	n/a	n/a	N	08/2019	Incumbent
25-1112.00	3.A.1	Related Work Experience	RW	5	20.92	33	9.3376	7.7329	45.5119	N	08/2019	Incumbent
25-1112.00	3.A.1	Related Work Experience	RW	6	8.51	33	4.7327	2.6279	24.2904	N	08/2019	Incumbent
25-1112.00	3.A.1	Related Work Experience	RW	7	30.86	33	12.0336	12.3942	58.4697	N	08/2019	Incumbent
25-1112.00	3.A.1	Related Work Experience	RW	8	26.98	33	12.4647	9.2396	57.2743	N	08/2019	Incumbent
25-1112.00	3.A.1	Related Work Experience	RW	9	0.78	33	0.8064	0.0936	6.1700	N	08/2019	Incumbent
25-1112.00	3.A.1	Related Work Experience	RW	10	5.12	33	4.5716	0.7863	26.8512	N	08/2019	Incumbent
25-1112.00	3.A.1	Related Work Experience	RW	11	4.29	33	2.8656	1.0723	15.6605	N	08/2019	Incumbent
25-1112.00	3.A.2	On-Site or In-Plant Training	PT	1	73.96	33	9.8098	50.1564	88.9054	N	08/2019	Incumbent
25-1112.00	3.A.2	On-Site or In-Plant Training	PT	2	11.73	33	7.8661	2.7505	38.4429	N	08/2019	Incumbent
25-1112.00	3.A.2	On-Site or In-Plant Training	PT	3	0.68	33	0.7145	0.0809	5.5388	N	08/2019	Incumbent
25-1112.00	3.A.2	On-Site or In-Plant Training	PT	4	0.68	33	0.7145	0.0809	5.5391	N	08/2019	Incumbent
25-1112.00	3.A.2	On-Site or In-Plant Training	PT	5	6.20	33	4.3857	1.4029	23.4954	N	08/2019	Incumbent
25-1112.00	3.A.2	On-Site or In-Plant Training	PT	6	5.42	33	4.4358	0.9746	25.0310	N	08/2019	Incumbent
25-1112.00	3.A.2	On-Site or In-Plant Training	PT	7	0.00	33	0.0000	n/a	n/a	N	08/2019	Incumbent
25-1112.00	3.A.2	On-Site or In-Plant Training	PT	8	0.00	33	0.0000	n/a	n/a	N	08/2019	Incumbent
25-1112.00	3.A.2	On-Site or In-Plant Training	PT	9	1.32	33	1.3903	0.1526	10.5100	N	08/2019	Incumbent
25-1112.00	3.A.3	On-the-Job Training	OJ	1	47.96	33	9.5849	29.6508	66.8306	N	08/2019	Incumbent
25-1112.00	3.A.3	On-the-Job Training	OJ	2	5.80	33	4.5845	1.1032	25.3779	N	08/2019	Incumbent
25-1112.00	3.A.3	On-the-Job Training	OJ	3	16.09	33	10.0784	4.0234	46.7297	N	08/2019	Incumbent
25-1112.00	3.A.3	On-the-Job Training	OJ	4	3.45	33	1.9710	1.0584	10.6561	N	08/2019	Incumbent
25-1112.00	3.A.3	On-the-Job Training	OJ	5	5.42	33	4.4358	0.9746	25.0310	N	08/2019	Incumbent
25-1112.00	3.A.3	On-the-Job Training	OJ	6	5.42	33	4.4358	0.9746	25.0310	N	08/2019	Incumbent
25-1112.00	3.A.3	On-the-Job Training	OJ	7	5.12	33	4.5716	0.7863	26.8512	N	08/2019	Incumbent
25-1112.00	3.A.3	On-the-Job Training	OJ	8	7.36	33	7.2756	0.8962	41.1142	N	08/2019	Incumbent
25-1112.00	3.A.3	On-the-Job Training	OJ	9	3.38	33	2.6428	0.6678	15.3902	N	08/2019	Incumbent
25-1112.00	3.A.4.a	Job-related Apprenticeship	IM	n/a	2.42	33	0.2386	1.9342	2.9061	N	08/2019	Incumbent
25-1113.00	2.D.1	Required Level of Education	RL	1	0.00	16	0.0000	n/a	n/a	N	08/2021	Incumbent
25-1113.00	2.D.1	Required Level of Education	RL	2	0.00	16	0.0000	n/a	n/a	N	08/2021	Incumbent
25-1113.00	2.D.1	Required Level of Education	RL	3	0.00	16	0.0000	n/a	n/a	N	08/2021	Incumbent
25-1113.00	2.D.1	Required Level of Education	RL	4	0.00	16	0.0000	n/a	n/a	N	08/2021	Incumbent
25-1113.00	2.D.1	Required Level of Education	RL	5	0.00	16	0.0000	n/a	n/a	N	08/2021	Incumbent
25-1113.00	2.D.1	Required Level of Education	RL	6	0.00	16	0.0000	n/a	n/a	N	08/2021	Incumbent
25-1113.00	2.D.1	Required Level of Education	RL	7	0.00	16	0.0000	n/a	n/a	N	08/2021	Incumbent
25-1113.00	2.D.1	Required Level of Education	RL	8	28.73	16	13.9480	8.6238	63.2601	N	08/2021	Incumbent
25-1113.00	2.D.1	Required Level of Education	RL	9	0.00	16	0.0000	n/a	n/a	N	08/2021	Incumbent
25-1113.00	2.D.1	Required Level of Education	RL	10	6.03	16	5.8264	0.7131	36.4670	N	08/2021	Incumbent
25-1113.00	2.D.1	Required Level of Education	RL	11	60.70	16	13.2512	32.0999	83.4638	N	08/2021	Incumbent
25-1113.00	2.D.1	Required Level of Education	RL	12	4.53	16	3.5027	0.8391	21.0436	N	08/2021	Incumbent
25-1113.00	2.D.4.a	Job-Related Professional Certification	IM	n/a	3.36	16	0.5111	2.2697	4.4486	N	08/2021	Incumbent
25-1113.00	3.A.1	Related Work Experience	RW	1	16.95	16	15.1753	2.0083	67.0118	Y	08/2021	Incumbent
